name,symbol,instrument type,exchange,industry
iShares MSCI Emerging Markets UCITS ETF (Dist),IDEM.L,ETF,London,Financial
iShares MSCI Europe UCITS ETF (Dist),IMEU.L,ETF,London,Financial
iShares MSCI Japan EUR Hedged UCITS ETF,IJPE.L,ETF,London,Financial
iShares MSCI Taiwan UCITS ETF,ITWN.L,ETF,London,Financial
iShares S&P 500 UCITS ETF (Dist),IUSA.L,ETF,London,Financial
iShares UK Property UCITS ETF,IUKP.L,ETF,London,Financial
iShares Gold Producers UCITS ETF,SPGP.L,ETF,London,Financial
WisdomTree Europe Defence UCITS ETF,WDEF.L,ETF,London,Financial
Oxford Nanopore Technologies plc,ONT.L,Stocks,London,ConsumerGoods
iShares iBonds Dec 2027 Term $ Corp UCITS ETF,ID27.L,ETF,London,Financial
iShares US Mortgage Backed Securities UCITS ETF,IMBA.L,ETF,London,Financial
iShares USD Ultrashort Bond UCITS ETF,ERNA.L,ETF,London,Financial
iShares USD High Yield Corp Bond UCITS ETF,IHYA.L,ETF,London,Financial
iShares USD Short Duration High Yield Corp Bond UCITS ETF,SDHA.L,ETF,London,Financial
iShares USD High Yield Corp Bond ESG UCITS ETF,DHYA.L,ETF,London,Financial
iShares USD Floating Rate Bond UCITS ETF,FLOA.L,ETF,London,Financial
iShares MSCI USA UCITS ETF,CSUS.L,ETF,London,Financial
iShares Core MSCI Japan IMI UCITS ETF,IJPA.L,ETF,London,Financial
iShares Core EURO STOXX 50 ETF,CSX5.L,ETF,London,Financial
iShares Core S&P 500 UCITS ETF,CSPX.L,ETF,London,Financial
Xtrackers MSCI Europe Utilities ESG Screened UCITS ETF,XS6R.L,ETF,London,Financial
Xtrackers Nikkei 225 UCITS ETF,XDJP.L,ETF,London,ConsumerGoods
Xtrackers MSCI India Swap UCITS ETF,XCX5.L,ETF,London,Financial
PLUS 500 LTD,PLUS.L,Stocks,London,Financial
CMC MARKETS PLC,CMCX,Stocks,London,Financial
Ryanair,Ryanair,Stocks,London,Services
Glanbia Plc,GLB.L.GBX,Stocks,London,ConsumerGoods
Kerry Group Plc,KYG.L.GBX,Stocks,London,ConsumerGoods
Kingspan Group Plc,KSP.L.GBX,Stocks,London,IndustrialGoods
St.James's Place Capital Plc,STJ.L old,Stocks,London,Financial
iShares FTSE 250 UCITS ETF,MIDD.L,ETF,London,Financial
 Vodafone Group PLC,VOD.L,Stocks,London,Services
iShares NASDAQ 100 UCITS ETF usd,CNDX.L,ETF,London,Financial
iShares Core S&P 500 UCITS ETF,CSP1.L,ETF,London,ConsumerGoods
iShares USD Short Duration Corp Bond UCITS ETF,SDIA.L,ETF,London,Financial
Sberbank Moscow,SBER.MOEX,Stocks,London,Services
Raspberry Pi Ltd,RPI.L,Stocks,London,Technology
Bank of Ireland Group plc,BIRG.L,Stocks,London,Financial
Invesco Technology S&P US Select Sector UCITS ETF,XLKS.L,ETF,London,Financial
SPDR MSCI World Technology UCITS ETF USD Acc (EUR),WTEC.L,ETF,London,Financial
